artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.803,0.479,9,-8.3,0,0.0586,0.49,1.08e-4,0.402,0.292,111.952,4RwN5abaM8W3uQczqiDGF1,https://api.spotify.com/v1/audio-analysis/4RwN5abaM8W3uQczqiDGF1,4,,,1,180000,FALSE,https://api.spotify.com/v1/tracks/4RwN5abaM8W3uQczqiDGF1,FALSE,Не напрягайся (feat. Skofka),https://p.scdn.co/mp3-preview/7ce8d17552926fbacfe280bb3b86f0ee46be6cd4?cid=ba5b6ccdd3f046249ccd418246b3f1aa,1,track,spotify:track:4RwN5abaM8W3uQczqiDGF1,https://open.spotify.com/track/4RwN5abaM8W3uQczqiDGF1,ЙО-ЙО (feat. Skofka),A,minor,A minor
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.859,0.548,5,-7.831,0,0.0432,0.455,8.03e-5,0.0967,0.647,119.985,7kKTYTHULdERuHGCkVyLVD,https://api.spotify.com/v1/audio-analysis/7kKTYTHULdERuHGCkVyLVD,4,,,1,216000,FALSE,https://api.spotify.com/v1/tracks/7kKTYTHULdERuHGCkVyLVD,FALSE,Додому (feat. Skofka),https://p.scdn.co/mp3-preview/823836f238d51958f54a032fef683ca4ef02975c?cid=ba5b6ccdd3f046249ccd418246b3f1aa,2,track,spotify:track:7kKTYTHULdERuHGCkVyLVD,https://open.spotify.com/track/7kKTYTHULdERuHGCkVyLVD,ЙО-ЙО (feat. Skofka),F,minor,F minor
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.958,0.495,5,-6.476,0,0.0673,0.0299,0,0.11,0.545,111.994,3EkGH0yreaWUFAXBil8rmH,https://api.spotify.com/v1/audio-analysis/3EkGH0yreaWUFAXBil8rmH,4,,,1,156428,FALSE,https://api.spotify.com/v1/tracks/3EkGH0yreaWUFAXBil8rmH,FALSE,Файна (feat. Skofka),https://p.scdn.co/mp3-preview/13c4fd8ea4acde8d6a22332a96d849b90af59f4c?cid=ba5b6ccdd3f046249ccd418246b3f1aa,3,track,spotify:track:3EkGH0yreaWUFAXBil8rmH,https://open.spotify.com/track/3EkGH0yreaWUFAXBil8rmH,ЙО-ЙО (feat. Skofka),F,minor,F minor
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.706,0.528,0,-7.313,0,0.205,0.365,9.19e-4,0.0951,0.424,206.057,3ICTmbm0RyjP8qQjUYHxB1,https://api.spotify.com/v1/audio-analysis/3ICTmbm0RyjP8qQjUYHxB1,4,,,1,191067,FALSE,https://api.spotify.com/v1/tracks/3ICTmbm0RyjP8qQjUYHxB1,FALSE,Давай начистоту (feat. Skofka),https://p.scdn.co/mp3-preview/e5067b50ca4ece293ad5cee6ee927191f3565b38?cid=ba5b6ccdd3f046249ccd418246b3f1aa,4,track,spotify:track:3ICTmbm0RyjP8qQjUYHxB1,https://open.spotify.com/track/3ICTmbm0RyjP8qQjUYHxB1,ЙО-ЙО (feat. Skofka),C,minor,C minor
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.718,0.632,8,-5.393,0,0.0662,0.312,0.317,0.0952,0.448,140.112,4BZ785dj8DPoDdq7eozety,https://api.spotify.com/v1/audio-analysis/4BZ785dj8DPoDdq7eozety,4,,,1,171428,FALSE,https://api.spotify.com/v1/tracks/4BZ785dj8DPoDdq7eozety,FALSE,Маяком (feat. Skofka),https://p.scdn.co/mp3-preview/ea626120c8f99ee2089928a380403d7c9124d88b?cid=ba5b6ccdd3f046249ccd418246b3f1aa,5,track,spotify:track:4BZ785dj8DPoDdq7eozety,https://open.spotify.com/track/4BZ785dj8DPoDdq7eozety,ЙО-ЙО (feat. Skofka),G#,minor,G# minor
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.835,0.506,8,-9.862,0,0.0399,0.472,0.012,0.195,0.551,112.013,0d4Kaici9XaBfKyFFwJ8Sv,https://api.spotify.com/v1/audio-analysis/0d4Kaici9XaBfKyFFwJ8Sv,4,,,1,186859,FALSE,https://api.spotify.com/v1/tracks/0d4Kaici9XaBfKyFFwJ8Sv,FALSE,OTAMAN (feat. Skofka),https://p.scdn.co/mp3-preview/865db4203028701fd68c730c45749e57b8d94997?cid=ba5b6ccdd3f046249ccd418246b3f1aa,6,track,spotify:track:0d4Kaici9XaBfKyFFwJ8Sv,https://open.spotify.com/track/0d4Kaici9XaBfKyFFwJ8Sv,ЙО-ЙО (feat. Skofka),G#,minor,G# minor
KALUSH,46rVVJwHWNS7C7MaWXd842,75JDz9NzMLWYsw3K9aYXXc,album,,2021-07-23,2021,day,0.891,0.451,1,-9.381,0,0.207,0.132,0.00189,0.106,0.486,140.005,1xWj3mRbmUuN8BEL7aDiWR,https://api.spotify.com/v1/audio-analysis/1xWj3mRbmUuN8BEL7aDiWR,4,,,1,224142,FALSE,https://api.spotify.com/v1/tracks/1xWj3mRbmUuN8BEL7aDiWR,FALSE,Начистоту v.1 (feat. Skofka),https://p.scdn.co/mp3-preview/d1aa4e7b5d635d81e3cc356a8cf73d381824443e?cid=ba5b6ccdd3f046249ccd418246b3f1aa,7,track,spotify:track:1xWj3mRbmUuN8BEL7aDiWR,https://open.spotify.com/track/1xWj3mRbmUuN8BEL7aDiWR,ЙО-ЙО (feat. Skofka),C#,minor,C# minor
KALUSH,46rVVJwHWNS7C7MaWXd842,6onAeeUeEiXf2sReUGAThp,album,,2021-02-19,2021,day,0.952,0.831,11,-5.135,1,0.187,0.224,0,0.303,0.403,129,3Ws9g6YclTjQ7q0aXg4pyA,https://api.spotify.com/v1/audio-analysis/3Ws9g6YclTjQ7q0aXg4pyA,4,,,1,182325,FALSE,https://api.spotify.com/v1/tracks/3Ws9g6YclTjQ7q0aXg4pyA,FALSE,Пацани бурі,https://p.scdn.co/mp3-preview/338a570685185b7379f7720860e9d16264504847?cid=ba5b6ccdd3f046249ccd418246b3f1aa,1,track,spotify:track:3Ws9g6YclTjQ7q0aXg4pyA,https://open.spotify.com/track/3Ws9g6YclTjQ7q0aXg4pyA,HOTIN,B,major,B major
KALUSH,46rVVJwHWNS7C7MaWXd842,6onAeeUeEiXf2sReUGAThp,album,,2021-02-19,2021,day,0.853,0.731,6,-4.97,1,0.0736,0.0878,0.00901,0.136,0.378,130.051,2baIiNcM9HmCrYX9yMquHx,https://api.spotify.com/v1/audio-analysis/2baIiNcM9HmCrYX9yMquHx,4,,,1,204000,FALSE,https://api.spotify.com/v1/tracks/2baIiNcM9HmCrYX9yMquHx,FALSE,Не маринуй,https://p.scdn.co/mp3-preview/30cda6212c2dd83a827b7a468497b0c23e9eb94b?cid=ba5b6ccdd3f046249ccd418246b3f1aa,2,track,spotify:track:2baIiNcM9HmCrYX9yMquHx,https://open.spotify.com/track/2baIiNcM9HmCrYX9yMquHx,HOTIN,F#,major,F# major
KALUSH,46rVVJwHWNS7C7MaWXd842,6onAeeUeEiXf2sReUGAThp,album,,2021-02-19,2021,day,0.951,0.588,6,-5.335,1,0.212,0.223,0,0.0935,0.489,127.969,4lfmv3ZeMHKMOYmoPRg0sy,https://api.spotify.com/v1/audio-analysis/4lfmv3ZeMHKMOYmoPRg0sy,4,,,1,178125,FALSE,https://api.spotify.com/v1/tracks/4lfmv3ZeMHKMOYmoPRg0sy,FALSE,Кент,https://p.scdn.co/mp3-preview/d1fbdc1cc51528c2cbb7b845324bbd8f4ecd4ef7?cid=ba5b6ccdd3f046249ccd418246b3f1aa,3,track,spotify:track:4lfmv3ZeMHKMOYmoPRg0sy,https://open.spotify.com/track/4lfmv3ZeMHKMOYmoPRg0sy,HOTIN,F#,major,F# major
