artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.515,0.776,10,-4.944,1,0.0314,0.00885,2.91e-6,0.144,0.466,97.134,7lTrupBITxksImnQHWuKLF,https://api.spotify.com/v1/audio-analysis/7lTrupBITxksImnQHWuKLF,4,NA,NA,1,244040,FALSE,https://api.spotify.com/v1/tracks/7lTrupBITxksImnQHWuKLF,FALSE,Віддай мені (Свою любов),https://p.scdn.co/mp3-preview/1d710cd818aca0dbc3172f46d2bd140774d4525c?cid=ba5b6ccdd3f046249ccd418246b3f1aa,1,track,spotify:track:7lTrupBITxksImnQHWuKLF,https://open.spotify.com/track/7lTrupBITxksImnQHWuKLF,Без меж,A#,major,A# major
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.459,0.86,11,-5.965,0,0.0417,0.0118,6.36e-4,0.0808,0.264,93.058,4Zv39a0k2hERT9Vk0ffXJq,https://api.spotify.com/v1/audio-analysis/4Zv39a0k2hERT9Vk0ffXJq,4,NA,NA,1,292163,FALSE,https://api.spotify.com/v1/tracks/4Zv39a0k2hERT9Vk0ffXJq,FALSE,Не йди,https://p.scdn.co/mp3-preview/c5e61bd7f7165f0a4144cc6f5a6bb36cae3cd3f1?cid=ba5b6ccdd3f046249ccd418246b3f1aa,2,track,spotify:track:4Zv39a0k2hERT9Vk0ffXJq,https://open.spotify.com/track/4Zv39a0k2hERT9Vk0ffXJq,Без меж,B,minor,B minor
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.545,0.825,10,-4.589,0,0.0346,0.181,6.63e-5,0.148,0.346,121.972,3fSBCMH77tuQj46zZ4aYPS,https://api.spotify.com/v1/audio-analysis/3fSBCMH77tuQj46zZ4aYPS,4,NA,NA,1,301935,FALSE,https://api.spotify.com/v1/tracks/3fSBCMH77tuQj46zZ4aYPS,FALSE,Джерело,https://p.scdn.co/mp3-preview/1d455b59d43d3fc8c3cf8593f8137a357abd11b4?cid=ba5b6ccdd3f046249ccd418246b3f1aa,3,track,spotify:track:3fSBCMH77tuQj46zZ4aYPS,https://open.spotify.com/track/3fSBCMH77tuQj46zZ4aYPS,Без меж,A#,minor,A# minor
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.476,0.899,4,-4.698,0,0.0616,0.0578,4.87e-6,0.11,0.521,143.947,3zFAPpr6XBaPAGCeofb5N8,https://api.spotify.com/v1/audio-analysis/3zFAPpr6XBaPAGCeofb5N8,4,NA,NA,1,294774,FALSE,https://api.spotify.com/v1/tracks/3zFAPpr6XBaPAGCeofb5N8,FALSE,Сонце,https://p.scdn.co/mp3-preview/f1099a057fdea66c71da61f7fade52864cca4ea1?cid=ba5b6ccdd3f046249ccd418246b3f1aa,4,track,spotify:track:3zFAPpr6XBaPAGCeofb5N8,https://open.spotify.com/track/3zFAPpr6XBaPAGCeofb5N8,Без меж,E,minor,E minor
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.435,0.473,2,-7.397,0,0.0289,0.45,2.3e-6,0.175,0.287,133.441,3z6YLMxKqmlFpaDoOKlSmx,https://api.spotify.com/v1/audio-analysis/3z6YLMxKqmlFpaDoOKlSmx,4,NA,NA,1,312744,FALSE,https://api.spotify.com/v1/tracks/3z6YLMxKqmlFpaDoOKlSmx,FALSE,Мить,https://p.scdn.co/mp3-preview/9b057b62829c1767d3dccd56bc91be1bbda4e18b?cid=ba5b6ccdd3f046249ccd418246b3f1aa,5,track,spotify:track:3z6YLMxKqmlFpaDoOKlSmx,https://open.spotify.com/track/3z6YLMxKqmlFpaDoOKlSmx,Без меж,D,minor,D minor
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.391,0.59,0,-4.446,0,0.0272,0.19,0,0.125,0.336,88.913,0H2ZDRzULQ8tIUvxUuTlqF,https://api.spotify.com/v1/audio-analysis/0H2ZDRzULQ8tIUvxUuTlqF,4,NA,NA,1,266976,FALSE,https://api.spotify.com/v1/tracks/0H2ZDRzULQ8tIUvxUuTlqF,FALSE,Не твоя війна,https://p.scdn.co/mp3-preview/6163d2795764f2b9dc9da8e1ba03b42f1fcbe66f?cid=ba5b6ccdd3f046249ccd418246b3f1aa,6,track,spotify:track:0H2ZDRzULQ8tIUvxUuTlqF,https://open.spotify.com/track/0H2ZDRzULQ8tIUvxUuTlqF,Без меж,C,minor,C minor
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.277,0.648,0,-4.751,1,0.0396,0.221,1.03e-4,0.109,0.227,180.147,4LTfPgwiEGWN80tr0LFWox,https://api.spotify.com/v1/audio-analysis/4LTfPgwiEGWN80tr0LFWox,4,NA,NA,1,293389,FALSE,https://api.spotify.com/v1/tracks/4LTfPgwiEGWN80tr0LFWox,FALSE,Еверест,https://p.scdn.co/mp3-preview/b4ce2837dfc6dd96fcefd6670a87ce60c0ab7caf?cid=ba5b6ccdd3f046249ccd418246b3f1aa,7,track,spotify:track:4LTfPgwiEGWN80tr0LFWox,https://open.spotify.com/track/4LTfPgwiEGWN80tr0LFWox,Без меж,C,major,C major
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.546,0.623,7,-5.598,0,0.037,0.0435,0,0.1,0.4,143.983,7aPflFRq6JqAee1pxxd7ws,https://api.spotify.com/v1/audio-analysis/7aPflFRq6JqAee1pxxd7ws,4,NA,NA,1,215679,FALSE,https://api.spotify.com/v1/tracks/7aPflFRq6JqAee1pxxd7ws,FALSE,Хтось в небо летить,https://p.scdn.co/mp3-preview/c10899a1e499d0b6929173aa8e5608d4af1c8dd1?cid=ba5b6ccdd3f046249ccd418246b3f1aa,8,track,spotify:track:7aPflFRq6JqAee1pxxd7ws,https://open.spotify.com/track/7aPflFRq6JqAee1pxxd7ws,Без меж,G,minor,G minor
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.574,0.598,10,-4.903,1,0.0308,0.157,0,0.117,0.195,115.231,1jTDXV18QzWxVH5oZFD5OY,https://api.spotify.com/v1/audio-analysis/1jTDXV18QzWxVH5oZFD5OY,3,NA,NA,1,272963,FALSE,https://api.spotify.com/v1/tracks/1jTDXV18QzWxVH5oZFD5OY,FALSE,Життя починається знов,https://p.scdn.co/mp3-preview/8fd6129a9700f75dccb2f8f09741ae331258bf1c?cid=ba5b6ccdd3f046249ccd418246b3f1aa,9,track,spotify:track:1jTDXV18QzWxVH5oZFD5OY,https://open.spotify.com/track/1jTDXV18QzWxVH5oZFD5OY,Без меж,A#,major,A# major
Okean Elzy,6NTzEgUmN1PIBIYEHhf1kS,0CJXPSTdfOe8LEKkWAV6Kt,album,NA,2016-05-19,2016,day,0.569,0.909,0,-4.978,0,0.0304,0.00373,7.04e-5,0.127,0.496,104.027,5KiZWW2kjsvCleVZLqCdmX,https://api.spotify.com/v1/audio-analysis/5KiZWW2kjsvCleVZLqCdmX,4,NA,NA,1,276606,FALSE,https://api.spotify.com/v1/tracks/5KiZWW2kjsvCleVZLqCdmX,FALSE,Осінь,https://p.scdn.co/mp3-preview/9015a38423d11ef6402faf6adb111b469371c417?cid=ba5b6ccdd3f046249ccd418246b3f1aa,10,track,spotify:track:5KiZWW2kjsvCleVZLqCdmX,https://open.spotify.com/track/5KiZWW2kjsvCleVZLqCdmX,Без меж,C,minor,C minor
