genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/04pgbTmxJbzxlVSV0sHLAV,04pgbTmxJbzxlVSV0sHLAV,,Noggano,45,artist,spotify:artist:04pgbTmxJbzxlVSV0sHLAV,https://open.spotify.com/artist/04pgbTmxJbzxlVSV0sHLAV,NA,185913
,https://api.spotify.com/v1/artists/1S49WkJ2maoXywdnpdRBxG,1S49WkJ2maoXywdnpdRBxG,,Zanuda,35,artist,spotify:artist:1S49WkJ2maoXywdnpdRBxG,https://open.spotify.com/artist/1S49WkJ2maoXywdnpdRBxG,NA,37596
,https://api.spotify.com/v1/artists/7wb9PPpmdyZ1MTPRXLtIxE,7wb9PPpmdyZ1MTPRXLtIxE,,9 Gramm,42,artist,spotify:artist:7wb9PPpmdyZ1MTPRXLtIxE,https://open.spotify.com/artist/7wb9PPpmdyZ1MTPRXLtIxE,NA,91298
,https://api.spotify.com/v1/artists/0v1XXQm1lYXrclgeZhVrBZ,0v1XXQm1lYXrclgeZhVrBZ,,Triagrutrika,38,artist,spotify:artist:0v1XXQm1lYXrclgeZhVrBZ,https://open.spotify.com/artist/0v1XXQm1lYXrclgeZhVrBZ,NA,69285
,https://api.spotify.com/v1/artists/5g5a3ENOYfn6myyLen218w,5g5a3ENOYfn6myyLen218w,,Kaspiyskiy Gruz,52,artist,spotify:artist:5g5a3ENOYfn6myyLen218w,https://open.spotify.com/artist/5g5a3ENOYfn6myyLen218w,NA,313844
,https://api.spotify.com/v1/artists/5DIzBPaVlYSmlIQaafQSow,5DIzBPaVlYSmlIQaafQSow,,Kravz,48,artist,spotify:artist:5DIzBPaVlYSmlIQaafQSow,https://open.spotify.com/artist/5DIzBPaVlYSmlIQaafQSow,NA,53025
,https://api.spotify.com/v1/artists/2R1OELuSJzXjRm8lc8FjPC,2R1OELuSJzXjRm8lc8FjPC,,Rem Digga,52,artist,spotify:artist:2R1OELuSJzXjRm8lc8FjPC,https://open.spotify.com/artist/2R1OELuSJzXjRm8lc8FjPC,NA,161943
,https://api.spotify.com/v1/artists/6frycbKPhXIybi6TFfum60,6frycbKPhXIybi6TFfum60,,Smoky Mo,40,artist,spotify:artist:6frycbKPhXIybi6TFfum60,https://open.spotify.com/artist/6frycbKPhXIybi6TFfum60,NA,73112
,https://api.spotify.com/v1/artists/6CNMwLyltqBc4f59InaWd4,6CNMwLyltqBc4f59InaWd4,,Slovetskii,35,artist,spotify:artist:6CNMwLyltqBc4f59InaWd4,https://open.spotify.com/artist/6CNMwLyltqBc4f59InaWd4,NA,40240
,https://api.spotify.com/v1/artists/0x9j5hqljRaIIGjDSmsLT0,0x9j5hqljRaIIGjDSmsLT0,,L'One,43,artist,spotify:artist:0x9j5hqljRaIIGjDSmsLT0,https://open.spotify.com/artist/0x9j5hqljRaIIGjDSmsLT0,NA,268742
,https://api.spotify.com/v1/artists/0OCyDRYamSDX0nSnJ59W1u,0OCyDRYamSDX0nSnJ59W1u,,GUF,53,artist,spotify:artist:0OCyDRYamSDX0nSnJ59W1u,https://open.spotify.com/artist/0OCyDRYamSDX0nSnJ59W1u,NA,253386
,https://api.spotify.com/v1/artists/6WI9EjCdJWcwOFFtubMrGM,6WI9EjCdJWcwOFFtubMrGM,,N1NT3ND0,39,artist,spotify:artist:6WI9EjCdJWcwOFFtubMrGM,https://open.spotify.com/artist/6WI9EjCdJWcwOFFtubMrGM,NA,59086
,https://api.spotify.com/v1/artists/7BEMpta6uxRRKiei6jmTqd,7BEMpta6uxRRKiei6jmTqd,,25/17,41,artist,spotify:artist:7BEMpta6uxRRKiei6jmTqd,https://open.spotify.com/artist/7BEMpta6uxRRKiei6jmTqd,NA,79146
,https://api.spotify.com/v1/artists/6UM7SrdaVqmty3uRTZDv68,6UM7SrdaVqmty3uRTZDv68,,Centr,31,artist,spotify:artist:6UM7SrdaVqmty3uRTZDv68,https://open.spotify.com/artist/6UM7SrdaVqmty3uRTZDv68,NA,72520
,https://api.spotify.com/v1/artists/4j7W0SqtJNq3WNbXJLeCwP,4j7W0SqtJNq3WNbXJLeCwP,,Luxor,39,artist,spotify:artist:4j7W0SqtJNq3WNbXJLeCwP,https://open.spotify.com/artist/4j7W0SqtJNq3WNbXJLeCwP,NA,89272
,https://api.spotify.com/v1/artists/1V662Xly7vfsecWoSbsBtT,1V662Xly7vfsecWoSbsBtT,,AK-47,44,artist,spotify:artist:1V662Xly7vfsecWoSbsBtT,https://open.spotify.com/artist/1V662Xly7vfsecWoSbsBtT,NA,99529
,https://api.spotify.com/v1/artists/4k84JZ3ge2ZeFyKCThIiBt,4k84JZ3ge2ZeFyKCThIiBt,,Kamazz,44,artist,spotify:artist:4k84JZ3ge2ZeFyKCThIiBt,https://open.spotify.com/artist/4k84JZ3ge2ZeFyKCThIiBt,NA,179328
,https://api.spotify.com/v1/artists/4OKiW8dRL53pGmBLKqtt6C,4OKiW8dRL53pGmBLKqtt6C,,Triada,31,artist,spotify:artist:4OKiW8dRL53pGmBLKqtt6C,https://open.spotify.com/artist/4OKiW8dRL53pGmBLKqtt6C,NA,42640
,https://api.spotify.com/v1/artists/3oLccEy7y6zTe1gCFHxuWr,3oLccEy7y6zTe1gCFHxuWr,,Timati,55,artist,spotify:artist:3oLccEy7y6zTe1gCFHxuWr,https://open.spotify.com/artist/3oLccEy7y6zTe1gCFHxuWr,NA,447127
,https://api.spotify.com/v1/artists/4TjXA854eWs8P5EBgCbQmv,4TjXA854eWs8P5EBgCbQmv,,Jah Khalib,58,artist,spotify:artist:4TjXA854eWs8P5EBgCbQmv,https://open.spotify.com/artist/4TjXA854eWs8P5EBgCbQmv,NA,1205027
