name,id,followers.total,popularity,genres
Noggano,04pgbTmxJbzxlVSV0sHLAV,185913,45,
Zanuda,1S49WkJ2maoXywdnpdRBxG,37596,35,
9 Gramm,7wb9PPpmdyZ1MTPRXLtIxE,91298,42,
Triagrutrika,0v1XXQm1lYXrclgeZhVrBZ,69285,38,
Kaspiyskiy Gruz,5g5a3ENOYfn6myyLen218w,313844,52,
Kravz,5DIzBPaVlYSmlIQaafQSow,53025,48,
Rem Digga,2R1OELuSJzXjRm8lc8FjPC,161943,52,
Smoky Mo,6frycbKPhXIybi6TFfum60,73112,40,
Slovetskii,6CNMwLyltqBc4f59InaWd4,40240,35,
L'One,0x9j5hqljRaIIGjDSmsLT0,268742,43,
GUF,0OCyDRYamSDX0nSnJ59W1u,253386,53,
N1NT3ND0,6WI9EjCdJWcwOFFtubMrGM,59086,39,
25/17,7BEMpta6uxRRKiei6jmTqd,79146,41,
Centr,6UM7SrdaVqmty3uRTZDv68,72520,31,
Luxor,4j7W0SqtJNq3WNbXJLeCwP,89272,39,
AK-47,1V662Xly7vfsecWoSbsBtT,99529,44,
Kamazz,4k84JZ3ge2ZeFyKCThIiBt,179328,44,
Triada,4OKiW8dRL53pGmBLKqtt6C,42640,31,
Timati,3oLccEy7y6zTe1gCFHxuWr,447127,55,
Jah Khalib,4TjXA854eWs8P5EBgCbQmv,1205027,58,
