name,id,followers.total,popularity,genres
T-killah,30ylfqYtMbJifAQq3N9Ove,195104,45,
Zomb,11xxTlht7fjgu5j0zOrZYh,209291,46,
Geegun,5W7N6u4EjCEMKj7bDyzPEC,283843,45,
Lesha Svik,5uMClxnfkye15tg63lrwU8,305206,47,
Jah Khalib,4TjXA854eWs8P5EBgCbQmv,1205027,58,
L'One,0x9j5hqljRaIIGjDSmsLT0,268742,43,
Грибы,7yNqUSyJGymfJQghNU0zcH,131375,46,
T-Fest,01lZudgXsojt5TBHuygB8r,644709,53,
MiyaGi & Endspiel,6L5bLEtpxwd0KOdOr3gtW4,1955767,63,
Timati,3oLccEy7y6zTe1gCFHxuWr,447127,55,
Scroodgee,5ZKdNe6j8vkgseAJ8odrTU,108204,36,
Egor Kreed,2KoLmBXwsgMkfAvoPBlPmb,919522,59,
Luxor,4j7W0SqtJNq3WNbXJLeCwP,89272,39,
Kamazz,4k84JZ3ge2ZeFyKCThIiBt,179328,44,
Pika,4QwXKmGPo7GsU3N8LJykki,44799,46,
Kaspiyskiy Gruz,5g5a3ENOYfn6myyLen218w,313844,52,
MATRANG,7MVKH9fm8zwRycJpRU1UGc,351307,48,
Max Korzh,5meD8C7oGK5yUEY2T7ZZ7W,1709149,60,
HammAli & Navai,6o7TsOGOEF5Mqpiz2KCyWE,1094371,58,
МОТ,6OTMjaRQ9kxdwoPRYTmyOM,543457,57,
