name,id,followers.total,popularity,genres
Yanix,7gmUEqRjXK144s5jQMVc8c,355227,54,
kizaru,5NipqMGsY4AUeb7kGT8aVz,1134701,62,
LSP,4h8pGxEIOi7j4me1yhYxlD,823237,57,
OBLADAET,1hwKCeSXpLrh4OQND6iQHw,344923,54,
Thomas Mraz,7HeYTVt0Fg6lYEpmoeP67s,167525,43,
Skryptonite,3vvLuXEEf7sl3izJcw0GIn,1896080,64,
Big Baby Tape,5NMwoStnfHT4LdETlJSwDT,1057594,61,
PHARAOH,1F8usyx5PbYGWxf0bwdXwA,732978,60,
T-Fest,01lZudgXsojt5TBHuygB8r,644709,53,
Max Korzh,5meD8C7oGK5yUEY2T7ZZ7W,1709149,60,
LIZER,0j6G5eiOcrSdlyqaYwtxwS,387540,51,
Pika,4QwXKmGPo7GsU3N8LJykki,44799,46,
Markul,3Vfd5HJnhjnvdyuQYHtYa2,340486,56,
JEEMBO,3IwaLzOzILWyMzjXFWiDbW,176530,48,
THRILL PILL,3pONzjQKqFrh3zTQBTMeWd,301715,46,
ATL,2n6CVwo43YvjiTgcPxYWrf,371379,51,
Dzharakhov,7oxIi3tF8bOBxAcSixbojj,168336,45,
Mnogoznaal,16ZNqMkDZrzd8fTXeN2kUH,244327,50,
Mosquit,4WjXh2fvMd6dsn1WaIYdRp,30934,45,
GONE.Fludd,0ohUvVskERzK18bvWXFEqi,447232,59,
