genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/1ARDx2oCR7sJEjbnHsbbRU,1ARDx2oCR7sJEjbnHsbbRU,,Crim3s,50,artist,spotify:artist:1ARDx2oCR7sJEjbnHsbbRU,https://open.spotify.com/artist/1ARDx2oCR7sJEjbnHsbbRU,NA,139667
,https://api.spotify.com/v1/artists/48nHO1cuTbpx4ELhChsxX1,48nHO1cuTbpx4ELhChsxX1,,Sidewalks and Skeletons,56,artist,spotify:artist:48nHO1cuTbpx4ELhChsxX1,https://open.spotify.com/artist/48nHO1cuTbpx4ELhChsxX1,NA,178471
,https://api.spotify.com/v1/artists/75xNYf2GU5wtQqBrd74SlY,75xNYf2GU5wtQqBrd74SlY,,Zheani,47,artist,spotify:artist:75xNYf2GU5wtQqBrd74SlY,https://open.spotify.com/artist/75xNYf2GU5wtQqBrd74SlY,NA,127250
,https://api.spotify.com/v1/artists/6blEmsLU25ewy8hHtgZaSL,6blEmsLU25ewy8hHtgZaSL,,Jazmin Bean,54,artist,spotify:artist:6blEmsLU25ewy8hHtgZaSL,https://open.spotify.com/artist/6blEmsLU25ewy8hHtgZaSL,NA,479908
,https://api.spotify.com/v1/artists/3WGL5CRtgYd8Tm5elcbsdV,3WGL5CRtgYd8Tm5elcbsdV,,My,45,artist,spotify:artist:3WGL5CRtgYd8Tm5elcbsdV,https://open.spotify.com/artist/3WGL5CRtgYd8Tm5elcbsdV,NA,124648
,https://api.spotify.com/v1/artists/0DG7J8Q9Alnt65HJv6owzf,0DG7J8Q9Alnt65HJv6owzf,,Banshee,50,artist,spotify:artist:0DG7J8Q9Alnt65HJv6owzf,https://open.spotify.com/artist/0DG7J8Q9Alnt65HJv6owzf,NA,134240
,https://api.spotify.com/v1/artists/06O23tLg0or676h8EEzH7W,06O23tLg0or676h8EEzH7W,,Pastel Ghost,64,artist,spotify:artist:06O23tLg0or676h8EEzH7W,https://open.spotify.com/artist/06O23tLg0or676h8EEzH7W,NA,264488
,https://api.spotify.com/v1/artists/688qufssIBfmoD8BJxZD9Q,688qufssIBfmoD8BJxZD9Q,,King Plague,35,artist,spotify:artist:688qufssIBfmoD8BJxZD9Q,https://open.spotify.com/artist/688qufssIBfmoD8BJxZD9Q,NA,31312
,https://api.spotify.com/v1/artists/0yrzVTuk6PgF51NYgfgKXe,0yrzVTuk6PgF51NYgfgKXe,,GRLwood,54,artist,spotify:artist:0yrzVTuk6PgF51NYgfgKXe,https://open.spotify.com/artist/0yrzVTuk6PgF51NYgfgKXe,NA,356046
,https://api.spotify.com/v1/artists/3cmfyZ8hRHaN2CO9Qo4j35,3cmfyZ8hRHaN2CO9Qo4j35,,polnalyubvi,44,artist,spotify:artist:3cmfyZ8hRHaN2CO9Qo4j35,https://open.spotify.com/artist/3cmfyZ8hRHaN2CO9Qo4j35,NA,76089
,https://api.spotify.com/v1/artists/2xZHADRPl17tm8FPthebhR,2xZHADRPl17tm8FPthebhR,,Electroforez,50,artist,spotify:artist:2xZHADRPl17tm8FPthebhR,https://open.spotify.com/artist/2xZHADRPl17tm8FPthebhR,NA,172776
,https://api.spotify.com/v1/artists/526TMJFuJibm9j2p9td9Yp,526TMJFuJibm9j2p9td9Yp,,Kim Dracula,57,artist,spotify:artist:526TMJFuJibm9j2p9td9Yp,https://open.spotify.com/artist/526TMJFuJibm9j2p9td9Yp,NA,373711
,https://api.spotify.com/v1/artists/1gpjSKJC0UekvhaI8fAcoq,1gpjSKJC0UekvhaI8fAcoq,,AIGEL,38,artist,spotify:artist:1gpjSKJC0UekvhaI8fAcoq,https://open.spotify.com/artist/1gpjSKJC0UekvhaI8fAcoq,NA,41938
,https://api.spotify.com/v1/artists/5mlbvTfWUOfDrUIK6dkNzv,5mlbvTfWUOfDrUIK6dkNzv,,Poppy,60,artist,spotify:artist:5mlbvTfWUOfDrUIK6dkNzv,https://open.spotify.com/artist/5mlbvTfWUOfDrUIK6dkNzv,NA,1246155
,https://api.spotify.com/v1/artists/0ksNNF08VvPbHDXN06mrYa,0ksNNF08VvPbHDXN06mrYa,,Krovostok,50,artist,spotify:artist:0ksNNF08VvPbHDXN06mrYa,https://open.spotify.com/artist/0ksNNF08VvPbHDXN06mrYa,NA,333956
,https://api.spotify.com/v1/artists/2nAUHbKI7TZShUwFpk6G08,2nAUHbKI7TZShUwFpk6G08,,Husky,49,artist,spotify:artist:2nAUHbKI7TZShUwFpk6G08,https://open.spotify.com/artist/2nAUHbKI7TZShUwFpk6G08,NA,275624
,https://api.spotify.com/v1/artists/0RSogp4qeGu0ZM71JRTay3,0RSogp4qeGu0ZM71JRTay3,,WHOKILLEDXIX,54,artist,spotify:artist:0RSogp4qeGu0ZM71JRTay3,https://open.spotify.com/artist/0RSogp4qeGu0ZM71JRTay3,NA,162496
,https://api.spotify.com/v1/artists/1ZRRl4S2B4xZBzHtIf65Jx,1ZRRl4S2B4xZBzHtIf65Jx,,Lil Mariko,51,artist,spotify:artist:1ZRRl4S2B4xZBzHtIf65Jx,https://open.spotify.com/artist/1ZRRl4S2B4xZBzHtIf65Jx,NA,151291
,https://api.spotify.com/v1/artists/4ukk0IyB7vL97QirpOcNr3,4ukk0IyB7vL97QirpOcNr3,,Alice Glass,42,artist,spotify:artist:4ukk0IyB7vL97QirpOcNr3,https://open.spotify.com/artist/4ukk0IyB7vL97QirpOcNr3,NA,165112
,https://api.spotify.com/v1/artists/0yp6xP5xe1qarfugfTixOK,0yp6xP5xe1qarfugfTixOK,,Monetochka,56,artist,spotify:artist:0yp6xP5xe1qarfugfTixOK,https://open.spotify.com/artist/0yp6xP5xe1qarfugfTixOK,NA,337021
