name,id,followers.total,popularity,genres
Crim3s,1ARDx2oCR7sJEjbnHsbbRU,139667,50,
Sidewalks and Skeletons,48nHO1cuTbpx4ELhChsxX1,178471,56,
Zheani,75xNYf2GU5wtQqBrd74SlY,127250,47,
Jazmin Bean,6blEmsLU25ewy8hHtgZaSL,479908,54,
My,3WGL5CRtgYd8Tm5elcbsdV,124648,45,
Banshee,0DG7J8Q9Alnt65HJv6owzf,134240,50,
Pastel Ghost,06O23tLg0or676h8EEzH7W,264488,64,
King Plague,688qufssIBfmoD8BJxZD9Q,31312,35,
GRLwood,0yrzVTuk6PgF51NYgfgKXe,356046,54,
polnalyubvi,3cmfyZ8hRHaN2CO9Qo4j35,76089,44,
Electroforez,2xZHADRPl17tm8FPthebhR,172776,50,
Kim Dracula,526TMJFuJibm9j2p9td9Yp,373711,57,
AIGEL,1gpjSKJC0UekvhaI8fAcoq,41938,38,
Poppy,5mlbvTfWUOfDrUIK6dkNzv,1246155,60,
Krovostok,0ksNNF08VvPbHDXN06mrYa,333956,50,
Husky,2nAUHbKI7TZShUwFpk6G08,275624,49,
WHOKILLEDXIX,0RSogp4qeGu0ZM71JRTay3,162496,54,
Lil Mariko,1ZRRl4S2B4xZBzHtIf65Jx,151291,51,
Alice Glass,4ukk0IyB7vL97QirpOcNr3,165112,42,
Monetochka,0yp6xP5xe1qarfugfTixOK,337021,56,
