genres,href,id,images,name,popularity,type,uri,external_urls.spotify,followers.href,followers.total
,https://api.spotify.com/v1/artists/2e7yDxnK4osy7nKhnqrOFM,2e7yDxnK4osy7nKhnqrOFM,,Anacondaz,47,artist,spotify:artist:2e7yDxnK4osy7nKhnqrOFM,https://open.spotify.com/artist/2e7yDxnK4osy7nKhnqrOFM,NA,133649
,https://api.spotify.com/v1/artists/2n6CVwo43YvjiTgcPxYWrf,2n6CVwo43YvjiTgcPxYWrf,,ATL,51,artist,spotify:artist:2n6CVwo43YvjiTgcPxYWrf,https://open.spotify.com/artist/2n6CVwo43YvjiTgcPxYWrf,NA,372110
,https://api.spotify.com/v1/artists/3OB2b7f1bshKrPO0qlr5wq,3OB2b7f1bshKrPO0qlr5wq,,43ai,30,artist,spotify:artist:3OB2b7f1bshKrPO0qlr5wq,https://open.spotify.com/artist/3OB2b7f1bshKrPO0qlr5wq,NA,5961
,https://api.spotify.com/v1/artists/0ksNNF08VvPbHDXN06mrYa,0ksNNF08VvPbHDXN06mrYa,,Krovostok,50,artist,spotify:artist:0ksNNF08VvPbHDXN06mrYa,https://open.spotify.com/artist/0ksNNF08VvPbHDXN06mrYa,NA,334760
,https://api.spotify.com/v1/artists/2nAUHbKI7TZShUwFpk6G08,2nAUHbKI7TZShUwFpk6G08,,Husky,49,artist,spotify:artist:2nAUHbKI7TZShUwFpk6G08,https://open.spotify.com/artist/2nAUHbKI7TZShUwFpk6G08,NA,276173
,https://api.spotify.com/v1/artists/4h8pGxEIOi7j4me1yhYxlD,4h8pGxEIOi7j4me1yhYxlD,,LSP,57,artist,spotify:artist:4h8pGxEIOi7j4me1yhYxlD,https://open.spotify.com/artist/4h8pGxEIOi7j4me1yhYxlD,NA,825144
,https://api.spotify.com/v1/artists/7BEMpta6uxRRKiei6jmTqd,7BEMpta6uxRRKiei6jmTqd,,25/17,41,artist,spotify:artist:7BEMpta6uxRRKiei6jmTqd,https://open.spotify.com/artist/7BEMpta6uxRRKiei6jmTqd,NA,79286
,https://api.spotify.com/v1/artists/4hkwrlVarJxzFA6h4UMi6A,4hkwrlVarJxzFA6h4UMi6A,,Vlady,33,artist,spotify:artist:4hkwrlVarJxzFA6h4UMi6A,https://open.spotify.com/artist/4hkwrlVarJxzFA6h4UMi6A,NA,28145
,https://api.spotify.com/v1/artists/1gCOYbJNUa1LBVO5rlx0jB,1gCOYbJNUa1LBVO5rlx0jB,,Oxxxymiron,57,artist,spotify:artist:1gCOYbJNUa1LBVO5rlx0jB,https://open.spotify.com/artist/1gCOYbJNUa1LBVO5rlx0jB,NA,535912
,https://api.spotify.com/v1/artists/7tQd3Qyg1i6U9FS1tNb0ne,7tQd3Qyg1i6U9FS1tNb0ne,,Lumen,39,artist,spotify:artist:7tQd3Qyg1i6U9FS1tNb0ne,https://open.spotify.com/artist/7tQd3Qyg1i6U9FS1tNb0ne,NA,115401
