name,id,followers.total,popularity,genres
Anacondaz,2e7yDxnK4osy7nKhnqrOFM,133347,47,
ATL,2n6CVwo43YvjiTgcPxYWrf,371379,51,
43ai,3OB2b7f1bshKrPO0qlr5wq,5910,30,
Krovostok,0ksNNF08VvPbHDXN06mrYa,333956,50,
Husky,2nAUHbKI7TZShUwFpk6G08,275624,49,
Vlady,4hkwrlVarJxzFA6h4UMi6A,28043,33,
25/17,7BEMpta6uxRRKiei6jmTqd,79146,41,
LSP,4h8pGxEIOi7j4me1yhYxlD,823237,57,
Oxxxymiron,1gCOYbJNUa1LBVO5rlx0jB,535067,58,
Lumen,7tQd3Qyg1i6U9FS1tNb0ne,115131,39,
Nizkiz,15tWMVHWYQzu45cgaIuxNV,29273,39,
Сметана band,5bprYsTLa9fbJByKTIu5OM,144946,42,
Grechka,61YHPtwv3WNByXbiX8cYFF,165557,42,
Animal Jazz,5qG2J0qnQEu26oybRztt0H,63357,36,
Pornofilmy,47jBQjRmURjRn3XfLIaHvV,416430,51,
HLEB,1FqRk4EMtZN4Z7mwn5KnOv,128856,40,
Грязь,0mYPpM7VbKs7JpY6ZK6gnY,30829,38,
Loqiemean,2Nl6vz4KNIHQjyoOLTadCn,82286,46,
Thomas Mraz,7HeYTVt0Fg6lYEpmoeP67s,167525,43,
Bi-2,3SXDCIdqI1AR686ukKtKCq,699382,51,
