artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode,artist
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.621,0.222,1,-10.9,0,0.037,0.712,5.58e-5,0.131,0.178,112.076,2s3nDAj6ISXp7JKl3aZLNV,https://api.spotify.com/v1/audio-analysis/2s3nDAj6ISXp7JKl3aZLNV,4,NA,NA,1,212627,FALSE,https://api.spotify.com/v1/tracks/2s3nDAj6ISXp7JKl3aZLNV,FALSE,время летит,https://p.scdn.co/mp3-preview/659024ac1e6b7cf4d541ed427e49d92055aaf656?cid=ba5b6ccdd3f046249ccd418246b3f1aa,1,track,spotify:track:2s3nDAj6ISXp7JKl3aZLNV,https://open.spotify.com/track/2s3nDAj6ISXp7JKl3aZLNV,YOUTH ll: Time flies,C#,minor,C# minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.684,0.591,8,-6.875,1,0.0717,0.155,0.00138,0.236,0.343,76.986,0ER7zibdDsh1ZRGroCD3wP,https://api.spotify.com/v1/audio-analysis/0ER7zibdDsh1ZRGroCD3wP,4,NA,NA,1,182044,FALSE,https://api.spotify.com/v1/tracks/0ER7zibdDsh1ZRGroCD3wP,FALSE,ДРАКОН НА ВОЛЕ,https://p.scdn.co/mp3-preview/5eaa79c6d8a1315a796abcea18ad93d16e4d92c7?cid=ba5b6ccdd3f046249ccd418246b3f1aa,2,track,spotify:track:0ER7zibdDsh1ZRGroCD3wP,https://open.spotify.com/track/0ER7zibdDsh1ZRGroCD3wP,YOUTH ll: Time flies,G#,major,G# major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.6,0.238,0,-14.142,0,0.0336,0.837,0.0704,0.126,0.285,119.994,2D38EeESSMkYubl2umnsSL,https://api.spotify.com/v1/audio-analysis/2D38EeESSMkYubl2umnsSL,4,NA,NA,1,249568,FALSE,https://api.spotify.com/v1/tracks/2D38EeESSMkYubl2umnsSL,FALSE,первый поцелуй,https://p.scdn.co/mp3-preview/70357d54cba45f55f708a9a5c5f4aa5f860aa50f?cid=ba5b6ccdd3f046249ccd418246b3f1aa,3,track,spotify:track:2D38EeESSMkYubl2umnsSL,https://open.spotify.com/track/2D38EeESSMkYubl2umnsSL,YOUTH ll: Time flies,C,minor,C minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.766,0.52,1,-7.812,0,0.305,0.0971,7.82e-5,0.12,0.275,100.326,0rP7RWqLzT7kmcsl4KRmpq,https://api.spotify.com/v1/audio-analysis/0rP7RWqLzT7kmcsl4KRmpq,4,NA,NA,1,203557,FALSE,https://api.spotify.com/v1/tracks/0rP7RWqLzT7kmcsl4KRmpq,FALSE,кусочек пиццы,https://p.scdn.co/mp3-preview/cdd89ebe75cbcc30ab7d3d270c2a089126348080?cid=ba5b6ccdd3f046249ccd418246b3f1aa,4,track,spotify:track:0rP7RWqLzT7kmcsl4KRmpq,https://open.spotify.com/track/0rP7RWqLzT7kmcsl4KRmpq,YOUTH ll: Time flies,C#,minor,C# minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.503,0.378,10,-10.717,0,0.0424,0.759,0.00667,0.112,0.217,139.893,1eAQkT5ZFB8qd8a4Nsyd8x,https://api.spotify.com/v1/audio-analysis/1eAQkT5ZFB8qd8a4Nsyd8x,4,NA,NA,1,168696,FALSE,https://api.spotify.com/v1/tracks/1eAQkT5ZFB8qd8a4Nsyd8x,FALSE,"Там, где мы с тобой",https://p.scdn.co/mp3-preview/7b9fa618142ee09ee48fd3356759efa15afcac8c?cid=ba5b6ccdd3f046249ccd418246b3f1aa,5,track,spotify:track:1eAQkT5ZFB8qd8a4Nsyd8x,https://open.spotify.com/track/1eAQkT5ZFB8qd8a4Nsyd8x,YOUTH ll: Time flies,A#,minor,A# minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.734,0.418,3,-7.153,0,0.0483,0.498,0.00814,0.11,0.309,131.979,1qeuJk82Qij4cIVttWfJy8,https://api.spotify.com/v1/audio-analysis/1qeuJk82Qij4cIVttWfJy8,4,NA,NA,1,187272,FALSE,https://api.spotify.com/v1/tracks/1qeuJk82Qij4cIVttWfJy8,FALSE,она звонила мне,https://p.scdn.co/mp3-preview/e27789ea63f0dec0e75a5db79c920e8d5f48379e?cid=ba5b6ccdd3f046249ccd418246b3f1aa,6,track,spotify:track:1qeuJk82Qij4cIVttWfJy8,https://open.spotify.com/track/1qeuJk82Qij4cIVttWfJy8,YOUTH ll: Time flies,D#,minor,D# minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.674,0.763,7,-7.135,0,0.209,0.45,2.74e-5,0.0864,0.331,126.039,3zUBkU8K5gzvoFpo1jVLl7,https://api.spotify.com/v1/audio-analysis/3zUBkU8K5gzvoFpo1jVLl7,4,NA,NA,1,128991,FALSE,https://api.spotify.com/v1/tracks/3zUBkU8K5gzvoFpo1jVLl7,FALSE,THIS GAME (feat. интакто),https://p.scdn.co/mp3-preview/960025254df36d73d22cc02d410d8b49f595946c?cid=ba5b6ccdd3f046249ccd418246b3f1aa,7,track,spotify:track:3zUBkU8K5gzvoFpo1jVLl7,https://open.spotify.com/track/3zUBkU8K5gzvoFpo1jVLl7,YOUTH ll: Time flies,G,minor,G minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.755,0.652,4,-6.79,0,0.0399,0.51,2.42e-4,0.345,0.0572,126.008,0A4Wd2KwWhrVd0d8AZHp72,https://api.spotify.com/v1/audio-analysis/0A4Wd2KwWhrVd0d8AZHp72,4,NA,NA,1,231428,FALSE,https://api.spotify.com/v1/tracks/0A4Wd2KwWhrVd0d8AZHp72,FALSE,Навсегда,https://p.scdn.co/mp3-preview/a7fe507fb0fd3220e9c91825196f449506b4767b?cid=ba5b6ccdd3f046249ccd418246b3f1aa,8,track,spotify:track:0A4Wd2KwWhrVd0d8AZHp72,https://open.spotify.com/track/0A4Wd2KwWhrVd0d8AZHp72,YOUTH ll: Time flies,E,minor,E minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.67,0.39,10,-9.872,0,0.0486,0.672,1.47e-4,0.132,0.263,120.889,0MRIJMI1eJZbLQ6z4MkU9w,https://api.spotify.com/v1/audio-analysis/0MRIJMI1eJZbLQ6z4MkU9w,4,NA,NA,1,156070,FALSE,https://api.spotify.com/v1/tracks/0MRIJMI1eJZbLQ6z4MkU9w,FALSE,Ошибка,https://p.scdn.co/mp3-preview/05a944cd4bc8bfcffda39571c0de517b4500f1c4?cid=ba5b6ccdd3f046249ccd418246b3f1aa,9,track,spotify:track:0MRIJMI1eJZbLQ6z4MkU9w,https://open.spotify.com/track/0MRIJMI1eJZbLQ6z4MkU9w,YOUTH ll: Time flies,A#,minor,A# minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.75,0.539,9,-7.986,0,0.132,0.354,4.06e-4,0.158,0.194,86.978,1598L8zl3Qpd1k7PMf49aV,https://api.spotify.com/v1/audio-analysis/1598L8zl3Qpd1k7PMf49aV,4,NA,NA,1,228556,FALSE,https://api.spotify.com/v1/tracks/1598L8zl3Qpd1k7PMf49aV,FALSE,Бутафория,https://p.scdn.co/mp3-preview/9276e6fe42bff39451919d74561646d898c232d4?cid=ba5b6ccdd3f046249ccd418246b3f1aa,10,track,spotify:track:1598L8zl3Qpd1k7PMf49aV,https://open.spotify.com/track/1598L8zl3Qpd1k7PMf49aV,YOUTH ll: Time flies,A,minor,A minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,1WiSUJRloP4AD7bENbBsUN,album,NA,2022-07-08,2022,day,0.685,0.626,9,-6.414,0,0.0372,0.337,2.36e-6,0.112,0.181,123.954,2zRFZtIjF9JuuTZwWXZ90V,https://api.spotify.com/v1/audio-analysis/2zRFZtIjF9JuuTZwWXZ90V,4,NA,NA,1,218003,FALSE,https://api.spotify.com/v1/tracks/2zRFZtIjF9JuuTZwWXZ90V,FALSE,Горит Душа,https://p.scdn.co/mp3-preview/903ed750ad3ce61533f1bc510b54ed71d112ab38?cid=ba5b6ccdd3f046249ccd418246b3f1aa,11,track,spotify:track:2zRFZtIjF9JuuTZwWXZ90V,https://open.spotify.com/track/2zRFZtIjF9JuuTZwWXZ90V,YOUTH ll: Time flies,A,minor,A minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.558,0.322,2,-9.448,1,0.0289,0.885,0.0851,0.12,0.0886,111.952,1uUqzoWtk2AuW9BDk1wK9t,https://api.spotify.com/v1/audio-analysis/1uUqzoWtk2AuW9BDk1wK9t,4,NA,NA,1,201428,FALSE,https://api.spotify.com/v1/tracks/1uUqzoWtk2AuW9BDk1wK9t,FALSE,dream about..,https://p.scdn.co/mp3-preview/436c47b5df10a043d3e3c8e1f4ffc6f20d55f1a4?cid=ba5b6ccdd3f046249ccd418246b3f1aa,1,track,spotify:track:1uUqzoWtk2AuW9BDk1wK9t,https://open.spotify.com/track/1uUqzoWtk2AuW9BDk1wK9t,YOUTH I,D,major,D major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.509,0.573,9,-6.65,1,0.0952,0.541,3.78e-4,0.109,0.229,124.851,7i4XhS48PytZjMvPk5HBgK,https://api.spotify.com/v1/audio-analysis/7i4XhS48PytZjMvPk5HBgK,3,NA,NA,1,192663,FALSE,https://api.spotify.com/v1/tracks/7i4XhS48PytZjMvPk5HBgK,FALSE,Goodbye,https://p.scdn.co/mp3-preview/6b233da0ab28806b227961440043a0b949c4caef?cid=ba5b6ccdd3f046249ccd418246b3f1aa,2,track,spotify:track:7i4XhS48PytZjMvPk5HBgK,https://open.spotify.com/track/7i4XhS48PytZjMvPk5HBgK,YOUTH I,A,major,A major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.657,0.641,7,-6.889,0,0.0343,0.586,0.0012,0.192,0.215,86.021,4OfkRHcDBn5okwOj2kLhMH,https://api.spotify.com/v1/audio-analysis/4OfkRHcDBn5okwOj2kLhMH,4,NA,NA,1,215670,FALSE,https://api.spotify.com/v1/tracks/4OfkRHcDBn5okwOj2kLhMH,FALSE,несутся часы счастливые (feat. lyolya),https://p.scdn.co/mp3-preview/b57e8afe11048033fff212413a840c030ba25acc?cid=ba5b6ccdd3f046249ccd418246b3f1aa,3,track,spotify:track:4OfkRHcDBn5okwOj2kLhMH,https://open.spotify.com/track/4OfkRHcDBn5okwOj2kLhMH,YOUTH I,G,minor,G minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.769,0.636,0,-8.178,1,0.0787,0.489,6.42e-5,0.123,0.448,132.011,2xMoM8hIiT3ub6h0UeWEF2,https://api.spotify.com/v1/audio-analysis/2xMoM8hIiT3ub6h0UeWEF2,4,NA,NA,1,205808,FALSE,https://api.spotify.com/v1/tracks/2xMoM8hIiT3ub6h0UeWEF2,FALSE,Вотсап,https://p.scdn.co/mp3-preview/0a10cd1ce01c7800fea75519ac6e4990a77cffc1?cid=ba5b6ccdd3f046249ccd418246b3f1aa,4,track,spotify:track:2xMoM8hIiT3ub6h0UeWEF2,https://open.spotify.com/track/2xMoM8hIiT3ub6h0UeWEF2,YOUTH I,C,major,C major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.608,0.562,0,-7.604,0,0.0348,0.823,0.0807,0.11,0.216,127.929,760UFx5jafOE9hrSLp1os7,https://api.spotify.com/v1/audio-analysis/760UFx5jafOE9hrSLp1os7,4,NA,NA,1,226511,FALSE,https://api.spotify.com/v1/tracks/760UFx5jafOE9hrSLp1os7,FALSE,Где же ты была,https://p.scdn.co/mp3-preview/20d07bce02e56417dcea60a20fb9f3b3200bb34a?cid=ba5b6ccdd3f046249ccd418246b3f1aa,5,track,spotify:track:760UFx5jafOE9hrSLp1os7,https://open.spotify.com/track/760UFx5jafOE9hrSLp1os7,YOUTH I,C,minor,C minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.72,0.412,7,-7.777,0,0.0787,0.695,8.05e-4,0.133,0.406,92.017,5t9HtnOIoi6AYrnnBRvdAq,https://api.spotify.com/v1/audio-analysis/5t9HtnOIoi6AYrnnBRvdAq,4,NA,NA,1,168862,FALSE,https://api.spotify.com/v1/tracks/5t9HtnOIoi6AYrnnBRvdAq,FALSE,DELETE,https://p.scdn.co/mp3-preview/4eaa56e5f30effb053beddc4f3a3caff6b44bf86?cid=ba5b6ccdd3f046249ccd418246b3f1aa,6,track,spotify:track:5t9HtnOIoi6AYrnnBRvdAq,https://open.spotify.com/track/5t9HtnOIoi6AYrnnBRvdAq,YOUTH I,G,minor,G minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.688,0.666,7,-7.793,1,0.0502,0.0797,0.0164,0.099,0.103,161.916,6vbqRfShfiAgJkat9j7d2T,https://api.spotify.com/v1/audio-analysis/6vbqRfShfiAgJkat9j7d2T,4,NA,NA,1,252036,FALSE,https://api.spotify.com/v1/tracks/6vbqRfShfiAgJkat9j7d2T,FALSE,Унесённые ветрами,https://p.scdn.co/mp3-preview/9a1129f7c553d4833915dc87e975c56755f95e48?cid=ba5b6ccdd3f046249ccd418246b3f1aa,7,track,spotify:track:6vbqRfShfiAgJkat9j7d2T,https://open.spotify.com/track/6vbqRfShfiAgJkat9j7d2T,YOUTH I,G,major,G major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.63,0.298,4,-11.651,1,0.0311,0.88,0.00108,0.176,0.565,113.946,59UjCGznatrHaDIM4P9uDc,https://api.spotify.com/v1/audio-analysis/59UjCGznatrHaDIM4P9uDc,4,NA,NA,1,206513,FALSE,https://api.spotify.com/v1/tracks/59UjCGznatrHaDIM4P9uDc,FALSE,Lola,https://p.scdn.co/mp3-preview/d45067ebd324aa10a6337f68cbd4c02bee7888d7?cid=ba5b6ccdd3f046249ccd418246b3f1aa,8,track,spotify:track:59UjCGznatrHaDIM4P9uDc,https://open.spotify.com/track/59UjCGznatrHaDIM4P9uDc,YOUTH I,E,major,E major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.7,0.491,6,-9.573,0,0.0273,0.477,0.0601,0.16,0.433,107.954,01nqmXM9lJfPM6IyHobqah,https://api.spotify.com/v1/audio-analysis/01nqmXM9lJfPM6IyHobqah,4,NA,NA,1,179031,FALSE,https://api.spotify.com/v1/tracks/01nqmXM9lJfPM6IyHobqah,FALSE,Карнавал,https://p.scdn.co/mp3-preview/e7907cb0c44ee30385f18b0ea5cc7479158b6959?cid=ba5b6ccdd3f046249ccd418246b3f1aa,9,track,spotify:track:01nqmXM9lJfPM6IyHobqah,https://open.spotify.com/track/01nqmXM9lJfPM6IyHobqah,YOUTH I,F#,minor,F# minor,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.781,0.656,2,-6.714,1,0.284,0.33,0.00584,0.104,0.231,180.054,1kvjECOLzR3z8pOM2yjKr5,https://api.spotify.com/v1/audio-analysis/1kvjECOLzR3z8pOM2yjKr5,4,NA,NA,1,165163,FALSE,https://api.spotify.com/v1/tracks/1kvjECOLzR3z8pOM2yjKr5,FALSE,MONEY MONEY,https://p.scdn.co/mp3-preview/52d20b20e666c66060c75647d39e73ab8d8b64f2?cid=ba5b6ccdd3f046249ccd418246b3f1aa,10,track,spotify:track:1kvjECOLzR3z8pOM2yjKr5,https://open.spotify.com/track/1kvjECOLzR3z8pOM2yjKr5,YOUTH I,D,major,D major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.692,0.535,11,-6.801,1,0.0375,0.545,8.71e-5,0.17,0.464,136.019,3H63Las4ngkv5WRVEwEAsN,https://api.spotify.com/v1/audio-analysis/3H63Las4ngkv5WRVEwEAsN,4,NA,NA,1,235224,FALSE,https://api.spotify.com/v1/tracks/3H63Las4ngkv5WRVEwEAsN,FALSE,Случайная любовь,https://p.scdn.co/mp3-preview/8479a628d7edfddd5dcf3556a1c52940fa697394?cid=ba5b6ccdd3f046249ccd418246b3f1aa,11,track,spotify:track:3H63Las4ngkv5WRVEwEAsN,https://open.spotify.com/track/3H63Las4ngkv5WRVEwEAsN,YOUTH I,B,major,B major,Rauf & Faik
Rauf & Faik,0a3zDmrvmZcORfPeONPvfL,0VQa7PzQ9MoXYBiUA7DjWA,album,NA,2021-08-19,2021,day,0.621,0.525,7,-9.918,1,0.0397,0.755,0.248,0.136,0.234,127.759,4dIvXCzHQRzcJ2b0TKIdko,https://api.spotify.com/v1/audio-analysis/4dIvXCzHQRzcJ2b0TKIdko,4,NA,NA,1,217889,FALSE,https://api.spotify.com/v1/tracks/4dIvXCzHQRzcJ2b0TKIdko,FALSE,Самолёт (feat. интакто),https://p.scdn.co/mp3-preview/187f030399deddc89926021e9cf34621ca979ef4?cid=ba5b6ccdd3f046249ccd418246b3f1aa,12,track,spotify:track:4dIvXCzHQRzcJ2b0TKIdko,https://open.spotify.com/track/4dIvXCzHQRzcJ2b0TKIdko,YOUTH I,G,major,G major,Rauf & Faik
